query_id,eval_id,sample_name,subset,source_type,source_database,source_origin,source_id,original_url,original_url_note,formula,formula_sum_from_cif,space_group,space_group_symbol,crystal_system,phase_id,target_phase_id,candidate_source_origin,spectrum_path,cif_path,json_path,theta_min_deg,theta_max_deg,num_points,intensity_min,intensity_max,is_real_spectrum,is_generated_spectrum,is_diagnostic_example,fit_status,warning_flags,notes
rruff__R080016-1,RRUFF:R080016-1,Ag2S_14,real_spectra,experimental,RRUFF,rruff,R080016-1,https://rruff.info/R080016,inferred_from_rruff_id,Ag2S,Ag8 S4,14,P2_1/c,monoclinic,rruff_amcsd_0010584,rruff_amcsd_0010584,rruff,real_spectra/Ag2S_14/Ag2S_14.xy,real_spectra/Ag2S_14/Ag2S_14.cif,,5.0,90.0,8501,5.0,268.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060356-1,RRUFF:R060356-1,Ag3AsS3_161,real_spectra,experimental,RRUFF,rruff,R060356-1,https://rruff.info/R060356,inferred_from_rruff_id,Ag3AsS3,Ag18 As6 S18,161,R3c,trigonal_hex,rruff_amcsd_0014938,rruff_amcsd_0014938,rruff,real_spectra/Ag3AsS3_161/Ag3AsS3_161.xy,real_spectra/Ag3AsS3_161/Ag3AsS3_161.cif,,5.0,90.0,8501,0.0,29.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050318-1,RRUFF:R050318-1,Ag3SbS3_161,real_spectra,experimental,RRUFF,rruff,R050318-1,https://rruff.info/R050318,inferred_from_rruff_id,Ag3SbS3,Ag18 Sb6 S18,161,R3c,trigonal_hex,rruff_amcsd_0013027,rruff_amcsd_0013027,rruff,real_spectra/Ag3SbS3_161/Ag3SbS3_161.xy,real_spectra/Ag3SbS3_161/Ag3SbS3_161.cif,,5.0,90.0,8501,0.0,83.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R061043-1,RRUFF:R061043-1,Ag3Sb_25,real_spectra,experimental,RRUFF,rruff,R061043-1,https://rruff.info/R061043,inferred_from_rruff_id,Ag3Sb,Ag3 Sb1,25,Pmm2,orthorhombic,rruff_amcsd_0005121,rruff_amcsd_0005121,rruff,real_spectra/Ag3Sb_25/Ag3Sb_25.xy,real_spectra/Ag3Sb_25/Ag3Sb_25.cif,,5.0,90.0,8501,0.0,423.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R070254-1,RRUFF:R070254-1,Ag3Te2Au_214,real_spectra,experimental,RRUFF,rruff,R070254-1,https://rruff.info/R070254,inferred_from_rruff_id,Ag3Te2Au,Ag24 Te16 Au8,214,I4_132,cubic,rruff_amcsd_0000087,rruff_amcsd_0000087,rruff,real_spectra/Ag3Te2Au_214/Ag3Te2Au_214.xy,real_spectra/Ag3Te2Au_214/Ag3Te2Au_214.cif,,5.0,90.0,8501,0.0,266.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050309-1,RRUFF:R050309-1,Ag5SbS4_36,real_spectra,experimental,RRUFF,rruff,R050309-1,https://rruff.info/R050309,inferred_from_rruff_id,Ag5SbS4,Ag20 Sb4 S16,36,Cmc2_1,orthorhombic,rruff_amcsd_0009367,rruff_amcsd_0009367,rruff,real_spectra/Ag5SbS4_36/Ag5SbS4_36.xy,real_spectra/Ag5SbS4_36/Ag5SbS4_36.cif,,5.0,90.0,8501,0.0,37.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R200013,RRUFF:R200013,AgTe_62,real_spectra,experimental,RRUFF,rruff,R200013,https://rruff.info/R200013,inferred_from_rruff_id,AgTe,Ag16 Te16,62,Pnma,orthorhombic,rruff_amcsd_0003585,rruff_amcsd_0003585,rruff,real_spectra/AgTe_62/AgTe_62.xy,real_spectra/AgTe_62/AgTe_62.cif,,4.0001,60.02474,1589,199.0,7551.0,true,false,false,sampling_usable,"[""trimmed_below_5deg""]",Real experimental spectrum with curated source mapping.
rruff__R070416-1,RRUFF:R070416-1,Ag_225,real_spectra,experimental,RRUFF,rruff,R070416-1,https://rruff.info/R070416,inferred_from_rruff_id,Ag,Ag4,225,Fm-3m,cubic,rruff_amcsd_0011135,rruff_amcsd_0011135,rruff,real_spectra/Ag_225/Ag_225.xy,real_spectra/Ag_225/Ag_225.cif,,5.0,90.0,8501,2.0,730.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R040168-1,RRUFF:R040168-1,Al2Fe3(SiO4)3_230,real_spectra,experimental,RRUFF,rruff,R040168-1,https://rruff.info/R040168,inferred_from_rruff_id,Al2Fe3(SiO4)3,Al16 Fe24 Si24 O96,230,Ia-3d,cubic,rruff_amcsd_0001464,rruff_amcsd_0001464,rruff,real_spectra/Al2Fe3(SiO4)3_230/Al2Fe3(SiO4)3_230.xy,real_spectra/Al2Fe3(SiO4)3_230/Al2Fe3(SiO4)3_230.cif,,5.0,90.0,8500,74.0,918.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050314-1,RRUFF:R050314-1,Al2FeP2(HO)18_2,real_spectra,experimental,RRUFF,rruff,R050314-1,https://rruff.info/R050314,inferred_from_rruff_id,Al2FeP2(HO)18,Al2 Fe1 P2 H18 O18,2,P-1,triclinic,rruff_amcsd_0014737,rruff_amcsd_0014737,rruff,real_spectra/Al2FeP2(HO)18_2/Al2FeP2(HO)18_2.xy,real_spectra/Al2FeP2(HO)18_2/Al2FeP2(HO)18_2.cif,,5.0,90.0,8501,35.0,448.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R060020-1,RRUFF:R060020-1,Al2O3_167,real_spectra,experimental,RRUFF,rruff,R060020-1,https://rruff.info/R060020,inferred_from_rruff_id,Al2O3,Al12 O18,167,R-3c,trigonal_hex,rruff_amcsd_0009325,rruff_amcsd_0009325,rruff,real_spectra/Al2O3_167/Al2O3_167.xy,real_spectra/Al2O3_167/Al2O3_167.cif,,5.0,90.0,8501,0.0,533.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
rruff__R050100-1,RRUFF:R050100-1,Al2PO7_12,real_spectra,experimental,RRUFF,rruff,R050100-1,https://rruff.info/R050100,inferred_from_rruff_id,Al2PO7,Al8 P4 O28,12,C2/m,monoclinic,rruff_amcsd_0000177,rruff_amcsd_0000177,rruff,real_spectra/Al2PO7_12/Al2PO7_12.xy,real_spectra/Al2PO7_12/Al2PO7_12.cif,,5.0,90.0,8501,2.0,3543.0,true,false,false,fit_quality_filtered,[],Real experimental spectrum with curated source mapping.
