sample_name,source_dataset,original_database_id,original_id,eval_id,query_id,original_url,original_url_note,formula,ideal_chemistry,target_formula_key,space_group,crystal_system,target_phase_id,formula_group_id,candidate_source_origin,fit_status,fit_rwp_percent,fit_peak_window_rwp,fit_peak_window_pearson,fit_matched_peak_fraction,fit_background_fraction,warning_flags,public_spectrum_path,public_cif_path
Ag2S_14,RRUFF,RRUFF:R080016-1,R080016-1,RRUFF:R080016-1,rruff__R080016-1,https://rruff.info/R080016,inferred_from_rruff_id,Ag2S,Ag2S,Ag2S,14,monoclinic,rruff_amcsd_0010584,Ag2|S1::sg::14,rruff,fit_quality_filtered,19.044920425998075,21.31304810418885,0.8947533982821352,0.75,0.9189006069491604,[],real_spectra/Ag2S_14/Ag2S_14.xy,real_spectra/Ag2S_14/Ag2S_14.cif
Ag3AsS3_161,RRUFF,RRUFF:R060356-1,R060356-1,RRUFF:R060356-1,rruff__R060356-1,https://rruff.info/R060356,inferred_from_rruff_id,Ag3AsS3,Ag3AsS3,Ag3AsS3,161,trigonal_hex,rruff_amcsd_0014938,Ag3|As1|S3::sg::161,rruff,fit_quality_filtered,19.802717669440245,30.40559309846072,0.8973750566084742,0.75,0.5920924552090923,[],real_spectra/Ag3AsS3_161/Ag3AsS3_161.xy,real_spectra/Ag3AsS3_161/Ag3AsS3_161.cif
Ag3SbS3_161,RRUFF,RRUFF:R050318-1,R050318-1,RRUFF:R050318-1,rruff__R050318-1,https://rruff.info/R050318,inferred_from_rruff_id,Ag3SbS3,Ag3SbS3,Ag3SbS3,161,trigonal_hex,rruff_amcsd_0013027,Ag3|S3|Sb1::sg::161,rruff,fit_quality_filtered,41.10734372079284,32.65069242131146,0.8857642602635178,0.875,0.5946411067468542,[],real_spectra/Ag3SbS3_161/Ag3SbS3_161.xy,real_spectra/Ag3SbS3_161/Ag3SbS3_161.cif
Ag3Sb_25,RRUFF,RRUFF:R061043-1,R061043-1,RRUFF:R061043-1,rruff__R061043-1,https://rruff.info/R061043,inferred_from_rruff_id,Ag3Sb,Ag3Sb,Ag3Sb,25,orthorhombic,rruff_amcsd_0005121,Ag3|Sb1::sg::25,rruff,fit_quality_filtered,30.987997092602313,17.281507574965556,0.9917433295227713,0.75,0.4611034241813855,[],real_spectra/Ag3Sb_25/Ag3Sb_25.xy,real_spectra/Ag3Sb_25/Ag3Sb_25.cif
Ag3Te2Au_214,RRUFF,RRUFF:R070254-1,R070254-1,RRUFF:R070254-1,rruff__R070254-1,https://rruff.info/R070254,inferred_from_rruff_id,Ag3Te2Au,Ag3Te2Au,Ag3Te2Au,214,cubic,rruff_amcsd_0000087,Ag3|Au1|Te2::sg::214,rruff,fit_quality_filtered,34.343550670116464,25.435761723911902,0.9761170001664672,0.875,0.6096633415958487,[],real_spectra/Ag3Te2Au_214/Ag3Te2Au_214.xy,real_spectra/Ag3Te2Au_214/Ag3Te2Au_214.cif
Ag5SbS4_36,RRUFF,RRUFF:R050309-1,R050309-1,RRUFF:R050309-1,rruff__R050309-1,https://rruff.info/R050309,inferred_from_rruff_id,Ag5SbS4,Ag5SbS4,Ag5SbS4,36,orthorhombic,rruff_amcsd_0009367,Ag5|S4|Sb1::sg::36,rruff,fit_quality_filtered,19.022671028719607,28.417493514309015,0.8998957867835549,0.75,0.48217562552513693,[],real_spectra/Ag5SbS4_36/Ag5SbS4_36.xy,real_spectra/Ag5SbS4_36/Ag5SbS4_36.cif
AgTe_62,RRUFF,RRUFF:R200013,R200013,RRUFF:R200013,rruff__R200013,https://rruff.info/R200013,inferred_from_rruff_id,AgTe,AgTe,AgTe,62,orthorhombic,rruff_amcsd_0003585,Ag1|Te1::sg::62,rruff,sampling_usable,10.842870596894375,9.019290975003878,0.9923523761905567,0.875,0.6784375208176332,"[""trimmed_below_5deg""]",real_spectra/AgTe_62/AgTe_62.xy,real_spectra/AgTe_62/AgTe_62.cif
Ag_225,RRUFF,RRUFF:R070416-1,R070416-1,RRUFF:R070416-1,rruff__R070416-1,https://rruff.info/R070416,inferred_from_rruff_id,Ag,Ag,Ag,225,cubic,rruff_amcsd_0011135,Ag1::sg::225,rruff,fit_quality_filtered,30.31381637779652,25.560239757366578,0.9727268243514741,1.0,0.6799365578808211,[],real_spectra/Ag_225/Ag_225.xy,real_spectra/Ag_225/Ag_225.cif
Al2Fe3(SiO4)3_230,RRUFF,RRUFF:R040168-1,R040168-1,RRUFF:R040168-1,rruff__R040168-1,https://rruff.info/R040168,inferred_from_rruff_id,Al2Fe3(SiO4)3,Al2Fe3(SiO4)3,Al2Fe3(SiO4)3,230,cubic,rruff_amcsd_0001464,Al2|Fe3|O12|Si3::sg::230,rruff,fit_quality_filtered,9.54789840237016,9.416748231634234,0.9560472037913047,0.875,0.949337116118055,[],real_spectra/Al2Fe3(SiO4)3_230/Al2Fe3(SiO4)3_230.xy,real_spectra/Al2Fe3(SiO4)3_230/Al2Fe3(SiO4)3_230.cif
Al2FeP2(HO)18_2,RRUFF,RRUFF:R050314-1,R050314-1,RRUFF:R050314-1,rruff__R050314-1,https://rruff.info/R050314,inferred_from_rruff_id,Al2FeP2(HO)18,Al2FeP2(HO)18,Al2FeP2(HO)18,2,triclinic,rruff_amcsd_0014737,Al2|Fe1|H18|O18|P2::sg::2,rruff,fit_quality_filtered,12.323301075043092,12.627127117366888,0.9175079629854429,1.0,0.9190542668194084,[],real_spectra/Al2FeP2(HO)18_2/Al2FeP2(HO)18_2.xy,real_spectra/Al2FeP2(HO)18_2/Al2FeP2(HO)18_2.cif
