query_id,eval_id,sample_name,target_formula,target_formula_key,formula_group_id,target_space_group,target_space_group_symbol,target_crystal_system,target_phase_id,target_database,target_database_id,target_cif_path,mapping_basis,notes
rruff__R080016-1,RRUFF:R080016-1,Ag2S_14,Ag2S,Ag2S,Ag2|S1::sg::14,14,P2_1/c,monoclinic,rruff_amcsd_0010584,rruff,rruff_amcsd_0010584,real_spectra/Ag2S_14/Ag2S_14.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060356-1,RRUFF:R060356-1,Ag3AsS3_161,Ag3AsS3,Ag3AsS3,Ag3|As1|S3::sg::161,161,R3c,trigonal_hex,rruff_amcsd_0014938,rruff,rruff_amcsd_0014938,real_spectra/Ag3AsS3_161/Ag3AsS3_161.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050318-1,RRUFF:R050318-1,Ag3SbS3_161,Ag3SbS3,Ag3SbS3,Ag3|S3|Sb1::sg::161,161,R3c,trigonal_hex,rruff_amcsd_0013027,rruff,rruff_amcsd_0013027,real_spectra/Ag3SbS3_161/Ag3SbS3_161.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R061043-1,RRUFF:R061043-1,Ag3Sb_25,Ag3Sb,Ag3Sb,Ag3|Sb1::sg::25,25,Pmm2,orthorhombic,rruff_amcsd_0005121,rruff,rruff_amcsd_0005121,real_spectra/Ag3Sb_25/Ag3Sb_25.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070254-1,RRUFF:R070254-1,Ag3Te2Au_214,Ag3Te2Au,Ag3Te2Au,Ag3|Au1|Te2::sg::214,214,I4_132,cubic,rruff_amcsd_0000087,rruff,rruff_amcsd_0000087,real_spectra/Ag3Te2Au_214/Ag3Te2Au_214.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050309-1,RRUFF:R050309-1,Ag5SbS4_36,Ag5SbS4,Ag5SbS4,Ag5|S4|Sb1::sg::36,36,Cmc2_1,orthorhombic,rruff_amcsd_0009367,rruff,rruff_amcsd_0009367,real_spectra/Ag5SbS4_36/Ag5SbS4_36.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R200013,RRUFF:R200013,AgTe_62,AgTe,AgTe,Ag1|Te1::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0003585,rruff,rruff_amcsd_0003585,real_spectra/AgTe_62/AgTe_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070416-1,RRUFF:R070416-1,Ag_225,Ag,Ag,Ag1::sg::225,225,Fm-3m,cubic,rruff_amcsd_0011135,rruff,rruff_amcsd_0011135,real_spectra/Ag_225/Ag_225.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040168-1,RRUFF:R040168-1,Al2Fe3(SiO4)3_230,Al2Fe3(SiO4)3,Al2Fe3(SiO4)3,Al2|Fe3|O12|Si3::sg::230,230,Ia-3d,cubic,rruff_amcsd_0001464,rruff,rruff_amcsd_0001464,real_spectra/Al2Fe3(SiO4)3_230/Al2Fe3(SiO4)3_230.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050314-1,RRUFF:R050314-1,Al2FeP2(HO)18_2,Al2FeP2(HO)18,Al2FeP2(HO)18,Al2|Fe1|H18|O18|P2::sg::2,2,P-1,triclinic,rruff_amcsd_0014737,rruff,rruff_amcsd_0014737,real_spectra/Al2FeP2(HO)18_2/Al2FeP2(HO)18_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060020-1,RRUFF:R060020-1,Al2O3_167,Al2O3,Al2O3,Al2|O3::sg::167,167,R-3c,trigonal_hex,rruff_amcsd_0009325,rruff,rruff_amcsd_0009325,real_spectra/Al2O3_167/Al2O3_167.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050100-1,RRUFF:R050100-1,Al2PO7_12,Al2PO7,Al2PO7,Al2|O7|P1::sg::12,12,C2/m,monoclinic,rruff_amcsd_0000177,rruff,rruff_amcsd_0000177,real_spectra/Al2PO7_12/Al2PO7_12.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050239-1,RRUFF:R050239-1,Al2PO8_33,Al2PO8,Al2PO8,Al2|O8|P1::sg::33,33,Pna2_1,orthorhombic,rruff_amcsd_0000752,rruff,rruff_amcsd_0000752,real_spectra/Al2PO8_33/Al2PO8_33.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050176-1,RRUFF:R050176-1,Al2Si(O2F)2_62,Al2Si(O2F)2,Al2Si(O2F)2,Al2|F2|O4|Si1::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0001642,rruff,rruff_amcsd_0001642,real_spectra/Al2Si(O2F)2_62/Al2Si(O2F)2_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040119-1,RRUFF:R040119-1,Al2SiO5_2,Al2SiO5,Al2SiO5,Al2|O5|Si1::sg::2,2,P-1,triclinic,rruff_amcsd_0000733,rruff,rruff_amcsd_0000733,real_spectra/Al2SiO5_2/Al2SiO5_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050449-1,RRUFF:R050449-1,Al2SiO5_58,Al2SiO5,Al2SiO5,Al2|O5|Si1::sg::58,58,Pnnm,orthorhombic,rruff_amcsd_0000728,rruff,rruff_amcsd_0000728,real_spectra/Al2SiO5_58/Al2SiO5_58.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060080-1,RRUFF:R060080-1,Al2SiO5_62,Al2SiO5,Al2SiO5,Al2|O5|Si1::sg::62,62,Pnma,orthorhombic,rruff_amcsd_0000723,rruff,rruff_amcsd_0000723,real_spectra/Al2SiO5_62/Al2SiO5_62.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R040027-1,RRUFF:R040027-1,Al2ZnO4_227,Al2ZnO4,Al2ZnO4,Al2|O4|Zn1::sg::227,227,Fd-3m,cubic,rruff_amcsd_0004939,rruff,rruff_amcsd_0004939,real_spectra/Al2ZnO4_227/Al2ZnO4_227.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060565-1,RRUFF:R060565-1,Al4Os4SO14_4,Al4Os4SO14,Al4Os4SO14,Al4|O14|Os4|S1::sg::4,4,P2_1,monoclinic,rruff_amcsd_0011981,rruff,rruff_amcsd_0011981,real_spectra/Al4Os4SO14_4/Al4Os4SO14_4.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050425-1,RRUFF:R050425-1,Al4P3(HO5)3_15,Al4P3(HO5)3,Al4P3(HO5)3,Al4|H3|O15|P3::sg::15,15,C2/c,monoclinic,rruff_amcsd_0000415,rruff,rruff_amcsd_0000415,real_spectra/Al4P3(HO5)3_15/Al4P3(HO5)3_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060533-1,RRUFF:R060533-1,Al6B5(O5F)3_176,Al6B5(O5F)3,Al6B5(O5F)3,Al6|B5|F3|O15::sg::176,176,P6_3/m,hexagonal,rruff_amcsd_0010860,rruff,rruff_amcsd_0010860,real_spectra/Al6B5(O5F)3_176/Al6B5(O5F)3_176.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060409-1,RRUFF:R060409-1,AlAs(H2O3)2_61,AlAs(H2O3)2,AlAs(H2O3)2,Al1|As1|H4|O6::sg::61,61,Pbca,orthorhombic,rruff_amcsd_0010322,rruff,rruff_amcsd_0010322,real_spectra/AlAs(H2O3)2_61/AlAs(H2O3)2_61.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R050535-1,RRUFF:R050535-1,AlCu2AsO12_15,AlCu2AsO12,AlCu2AsO12,Al1|As1|Cu2|O12::sg::15,15,C2/c,monoclinic,rruff_amcsd_0010249,rruff,rruff_amcsd_0010249,real_spectra/AlCu2AsO12_15/AlCu2AsO12_15.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R060751-1,RRUFF:R060751-1,AlCuH28S2ClO22_2,AlCuH28S2ClO22,AlCuH28S2ClO22,Al1|Cl1|Cu1|H28|O22|S2::sg::2,2,P-1,triclinic,rruff_amcsd_0009692,rruff,rruff_amcsd_0009692,real_spectra/AlCuH28S2ClO22_2/AlCuH28S2ClO22_2.cif,benchmark_target_mapping,Target CIF path is relative to this release.
rruff__R070574-1,RRUFF:R070574-1,AlH16(C3O7)2_142,AlH16(C3O7)2,AlH16(C3O7)2,Al1|C6|H16|O14::sg::142,142,I4_1/acd,tetragonal,rruff_amcsd_0013713,rruff,rruff_amcsd_0013713,real_spectra/AlH16(C3O7)2_142/AlH16(C3O7)2_142.cif,benchmark_target_mapping,Target CIF path is relative to this release.
